name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature,id,html,cluster
Putritorium,Haemorrhage,293.0,995.0,11,-5.634,1,209.0,1.14e-05,398.0,515.0,154.0,109.35,,222000,3,16D48dEzdShQWyOObdb0MH,https://open.spotify.com/track/16D48dEzdShQWyOObdb0MH,0.0
Evocation,Asphyx,199.0,892.0,2,-8.582,1,156.0,3.44e-05,513.0,0.24,0.18,60.596,,332160,4,1YjbqNRydjZFF9x4gpQCye,https://open.spotify.com/track/1YjbqNRydjZFF9x4gpQCye,6.0
The Sickening Dwell,Asphyx,218.0,0.92,6,-9.393,0,111.0,8.8e-06,422.0,747.0,0.12,166.002,,255400,4,6SRyAkTZ8baU0hMJQr95iV,https://open.spotify.com/track/6SRyAkTZ8baU0hMJQr95iV,0.0
Serenade In Lead,Asphyx,203.0,0.99,9,-8.538,1,162.0,6.21e-05,916.0,106.0,368.0,101.167,,208360,4,1gPskfRl7h2a7cm5rCJu2l,https://open.spotify.com/track/1gPskfRl7h2a7cm5rCJu2l,4.0
Streams of Ancient Wisdom,Asphyx,248.0,738.0,9,-10.772,0,537.0,104.0,861.0,122.0,281.0,174.88,,215800,4,4MDIS4kc6to6XIAxLlobXY,https://open.spotify.com/track/4MDIS4kc6to6XIAxLlobXY,4.0
Depths of Eternity,Asphyx,243.0,953.0,7,-8.481,1,868.0,1.64e-05,0.83,837.0,58.0,145.254,,423067,4,2e3CLm6phh9wsDD0OLxEz0,https://open.spotify.com/track/2e3CLm6phh9wsDD0OLxEz0,2.0
Emperors of Salvation,Asphyx,225.0,961.0,7,-7.922,1,865.0,2.06e-05,888.0,234.0,659.0,135.6,,299960,1,1TNnpjfHYbT8kaNcwJF32b,https://open.spotify.com/track/1TNnpjfHYbT8kaNcwJF32b,6.0
Til Death Do Us Apart,Asphyx,174.0,947.0,7,-7.94,1,866.0,8.8e-06,861.0,557.0,107.0,149.406,,378133,4,2thhXtey6ToQRxhRG9vFu0,https://open.spotify.com/track/2thhXtey6ToQRxhRG9vFu0,2.0
Embrace the Death,Asphyx,209.0,887.0,7,-7.0,1,544.0,102.0,22.0,794.0,583.0,98.872,,239973,4,1YhcSQB6FSJtNwnIw6ow9V,https://open.spotify.com/track/1YhcSQB6FSJtNwnIw6ow9V,0.0
Streams of Ancient Wisdom,Asphyx,271.0,859.0,9,-8.861,1,796.0,578.0,884.0,0.32,229.0,111.21,,204720,4,6Zhl1SGRLNAwlj9TLQRKOb,https://open.spotify.com/track/6Zhl1SGRLNAwlj9TLQRKOb,4.0
My Beloved Enemy,Asphyx,141.0,812.0,1,-7.722,0,895.0,9.03e-05,791.0,113.0,113.0,102.195,,319293,4,5fkQ7mjIkayo60X3ICYO5R,https://open.spotify.com/track/5fkQ7mjIkayo60X3ICYO5R,6.0
Frozen Soul,Asphyx,205.0,918.0,9,-8.361,1,101.0,416.0,502.0,224.0,185.0,136.942,,265000,4,7f7XPEn9EdtNvxtvsXy2jQ,https://open.spotify.com/track/7f7XPEn9EdtNvxtvsXy2jQ,0.0
Cut Throat Urges,Asphyx,181.0,942.0,1,-7.439,1,193.0,6.05e-05,632.0,311.0,89.0,118.947,,132600,3,2rx4vnKXvr4UYqKZafORgT,https://open.spotify.com/track/2rx4vnKXvr4UYqKZafORgT,8.0
Neolithic,Nocturnus,222.0,857.0,1,-11.917,0,855.0,1.16e-05,222.0,458.0,136.0,135.156,,290827,4,6o2YRtQnfilIDB0SkoKraw,https://open.spotify.com/track/6o2YRtQnfilIDB0SkoKraw,6.0
